category,number_apps,,category,number_apps,,,,,category,number_apps
afni,2,,structural MRI,166,,,,,conversion,34
alignment,4,,diffusion MRI,150,,,,,alignment_registration,51
analysis,32,,functional MRI,29,,,,,segmentation_parcellation,60
Anatomy-preprocessing,12,,meg,31,,,,,denoising_cleaning,67
brainlife,1,,derivatives,160,,,,,model_fitting,102
brainlifeio,1,,,376,,,,,tractography,149
convert,8,,,,,,,,roi_generation,83
Diffusion-denoising,2,,,,,,,,network generation,31
Diffusion-mri,40,,,,,,,,quality assurance,26
Diffusion-preprocessing,5,,,,,,,,statistics,70
Diffusion-reconstruction,1,,,,,,,,,673
fmri,3,,,,,,,,,
meg,5,,,,,,,,,
miscellaneous,308,,,,,,,,,
network,9,,,,,,,,,
pipeline,9,,,,,,,,,
postprocessing,31,,,,,,,,,
preprocessing,8,,,,,,,,,
qa,20,,,,,,,,,
Quality-check,5,,,,,,,,,
segmentation,5,,,,,,,,,
test,1,,,,,,,,,
tracking,20,,,,,,,,,
vision,2,,,,,,,,,
White-matter-segmentation,2,,,,,,,,,
,536,,,,,,,,,
